Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,2016-01-01,2016-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,102.253000,Fc
IDN,2017-01-01,2017-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2017,2017,LCU,104.202000,Fc
IDN,2018-01-01,2018-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2018,2018,LCU,107.074000,Fc
IDN,2019-01-01,2019-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2019,2019,LCU,109.581000,Fc
IDN,1970-01-01,1970-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1970,1970,US$,14.729700,Fc
IDN,1971-01-01,1971-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1971,1971,US$,14.337000,Fc
IDN,1972-01-01,1972-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1972,1972,US$,16.805400,Fc
IDN,1973-01-01,1973-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1973,1973,US$,20.237100,Fc
IDN,1974-01-01,1974-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1974,1974,US$,25.254200,Fc
IDN,1975-01-01,1975-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1975,1975,US$,31.545300,Fc
IDN,1976-01-01,1976-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1976,1976,US$,37.084000,Fc
IDN,1977-01-01,1977-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1977,1977,US$,38.179000,Fc
IDN,1978-01-01,1978-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1978,1978,US$,38.038600,Fc
IDN,1979-01-01,1979-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1979,1979,US$,37.095900,Fc
IDN,1980-01-01,1980-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1980,1980,US$,43.870400,Fc
IDN,1981-01-01,1981-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1981,1981,US$,58.374200,Fc
